Date,Open,High,Low,Close,Adj Close,Volume
2014-11-14,6635.500000,6654.399902,6610.100098,6654.399902,6654.399902,627535100
2014-11-17,6654.399902,6681.600098,6616.100098,6672.000000,6672.000000,537365300
2014-11-18,6672.000000,6714.100098,6671.799805,6709.100098,6709.100098,653233800
2014-11-19,6709.100098,6718.899902,6678.100098,6696.600098,6696.600098,802689100
2014-11-20,6696.600098,6696.799805,6641.100098,6678.899902,6678.899902,640496600
2014-11-21,6678.899902,6773.100098,6678.899902,6750.799805,6750.799805,845575400
2014-11-24,6750.799805,6764.000000,6720.100098,6729.799805,6729.799805,680406300
2014-11-25,6729.799805,6750.899902,6709.299805,6731.100098,6731.100098,907288200
2014-11-26,6731.100098,6765.000000,6718.500000,6729.200195,6729.200195,586890500
2014-11-27,6729.200195,6749.899902,6713.799805,6723.399902,6723.399902,517208400
2014-11-28,6723.399902,6734.700195,6667.100098,6722.600098,6722.600098,839390500
2014-12-01,6722.600098,6722.600098,6637.399902,6656.399902,6656.399902,728046400
2014-12-02,6656.399902,6744.299805,6656.399902,6742.100098,6742.100098,654954300
2014-12-03,6742.100098,6753.200195,6713.799805,6716.600098,6716.600098,707002000
2014-12-04,6716.600098,6734.000000,6672.700195,6679.399902,6679.399902,699897800
2014-12-05,6679.399902,6751.299805,6679.399902,6742.799805,6742.799805,678464700
2014-12-08,6742.799805,6742.799805,6672.200195,6672.200195,6672.200195,513903800
2014-12-09,6672.200195,6672.200195,6529.500000,6529.500000,6529.500000,951132300
2014-12-10,6529.500000,6565.799805,6500.000000,6500.000000,6500.000000,692354700
2014-12-11,6500.000000,6521.700195,6441.299805,6461.700195,6461.700195,757393100
2014-12-12,6461.700195,6461.700195,6297.399902,6300.600098,6300.600098,793966500
2014-12-15,6300.600098,6356.299805,6182.700195,6182.700195,6182.700195,985776000
2014-12-16,6182.700195,6331.799805,6144.700195,6331.799805,6331.799805,1037451400
2014-12-17,6331.799805,6359.700195,6240.299805,6336.500000,6336.500000,745851900
2014-12-18,6336.500000,6466.000000,6336.500000,6466.000000,6466.000000,967411900
2014-12-19,6466.000000,6566.899902,6466.000000,6545.299805,6545.299805,1144608500
2014-12-22,6545.299805,6621.000000,6545.299805,6576.700195,6576.700195,483625300
2014-12-23,6576.700195,6620.500000,6576.700195,6598.200195,6598.200195,380283900
2014-12-24,6598.200195,6618.100098,6586.100098,6609.899902,6609.899902,253486900
2014-12-29,6609.899902,6652.000000,6587.899902,6633.500000,6633.500000,350346200
2014-12-30,6633.500000,6633.500000,6528.899902,6547.000000,6547.000000,337948000
2014-12-31,6547.000000,6578.200195,6547.000000,6566.100098,6566.100098,125563600
2015-01-02,6566.100098,6607.899902,6510.600098,6547.799805,6547.799805,367562200
2015-01-05,6547.799805,6576.700195,6404.500000,6417.200195,6417.200195,728001100
